total_convert,post_title,link,parent_categories,child_categories
31,[Update] 10 Alumni Gojek yang Kini Mendirikan <em>Startup</em> di Indonesia,https://id.techinasia.com/8-alumni-gojek-pendiri-startup,Startup,Featured Startup
10,[Update] 8 Tip Memperlakukan Generasi Milenial di Tempat Kerja,https://id.techinasia.com/tip-memperlakukan-generasi-millennial-di-tempat-kerja,Profesional,"Entrepreneur, Team Management"
10,[Update] Data Investasi <em>Startup</em> di Indonesia Tahun 2019-2020,https://id.techinasia.com/data-investasi-startup-indonesia-2019-2020,Data,
10,[Update] 5 Model Bisnis Media <em>Online</em> di Indonesia,https://id.techinasia.com/model-bisnis-media-online-indonesia,Startup,Industry Insights
8,[Update] Panduan Ringkas Memahami Tahapan Pendanaan <em>Startup</em> di Indonesia,https://id.techinasia.com/tahap-pendanaan-yang-perlu-anda-ketahui,Startup,Investor
7,Pengertian Valuasi <em>Startup</em> dan Cara Hitungnya pada Tahap Awal Bisnis,https://id.techinasia.com/valuasi-startup-pengertian-cara-hitung,Startup,Featured Startup
7,"Dampak COVID-19 bagi <em>Online Travel Agent</em>: Penjualan Turun, hingga Bikin Bisnis Baru",https://id.techinasia.com/dampak-covid-19-online-travel-agent,Startup,Industry Insights
5,[Update] Kontak dan Data 10 Investor <em>Startup</em> Tahap Awal di Indonesia,https://id.techinasia.com/daftar-investor-startup-indonesia,Data,
5,Perjalanan Spiritual Seorang <em>Founder Startup</em> Setelah Bisnis Pertamanya Gagal,https://id.techinasia.com/perjalanan-spiritual-founder-startup,Startup,Featured Startup
5,Lanskap <em>E-commerce</em> B2B di Indonesia dari Perspektif Monotaro,https://id.techinasia.com/model-e-commerce-b2b-monotaro,Startup,Industry Insights
5,Bagaimana Moka Menerapkan Strategi <em>Content Marketing</em> B2B,https://id.techinasia.com/content-marketing-b2b-moka,Profesional,Digital Marketing
5,"Perjalanan TikTok di Indonesia, dari Diblokir hingga Kembali Populer",https://id.techinasia.com/perjalanan-tiktok-di-indonesia,Teknologi,Featured Tech
4,Cara <em>Startup Social Commerce</em> Maksimalkan Potensi <em>E-commerce</em> Indonesia,https://id.techinasia.com/cara-social-commerce-maksimalkan-potensi,Startup,Industry Insights
4,Mengapa Kopi Kenangan Diminati VC dan Bisa Memimpin Persaingan di Indonesia,https://id.techinasia.com/mengapa-kopi-kenangan-diminati-vc,Startup,Industry Insights
4,[Update] Cara Menyusun Proyeksi Keuangan Saat <em>Startup</em> Menggalang Dana ke Investor,https://id.techinasia.com/cara-menyusun-fundraising-startup-untuk-investor,Startup,Entrepreneur
4,[Update] 44 <em>Startup Edutech</em> di Asia Tenggara dengan Traksi yang Menjanjikan,https://id.techinasia.com/startup-edtech-di-asia-tenggara-dengan-traksi-menjanjikan,Startup,Featured Startup
4,17 <em>Startup</em> Indonesia yang Ruang Lingkup Bisnisnya di UMKM,https://id.techinasia.com/startup-umkm-indonesia,Startup,Featured Startup
4,Metode Tokopedia dalam Mengamankan Data 90 Juta Pelanggannya,https://id.techinasia.com/sistem-keamanan-data-tokopedia,Profesional,Engineering
4,"[Update] <em>Startup</em> Kopi <em>on-demand</em>, Tren Sementara atau Disrupsi bagi Pemain Lama?",https://id.techinasia.com/tren-startup-kopi-berbasis-aplikasi,Startup,Industry Insights
4,[Update] Menilik Risiko dan Tantangan <em>Startup</em> Sektor Pertanian di Indonesia,https://id.techinasia.com/risiko-dan-tantangan-startup-pertanian-indonesia,Startup,Entrepreneur
4,Qiscus Raih Laba dengan Menyediakan Fitur <em>Chat</em> untuk Aplikasi Populer,https://id.techinasia.com/qiscus-laba-dengan-fitur-chat,Startup,"Startup Terbaru, Featured Startup"
4,Cara Mendirikan <em>Startup</em> di Negara Berkembang (seperti Indonesia),https://id.techinasia.com/cara-dirikan-startup-negara-berkembang,Startup,Featured Startup
4,Perkembangan dan Peluang <em>Startup</em> Pengelola Sampah di Indonesia,https://id.techinasia.com/peluang-startup-pengelola-sampah,Startup,Industry Insights
4,"Amartha Dulu Hampir Bangkrut, Kini Jadi Salah Satu <em>P2P Lending </em>Terbesar",https://id.techinasia.com/amartha-bangkit-hampir-bangkrut,Contoh Artikel Premium,
4,Halo Tech in Asia ID+,https://id.techinasia.com/tia-id-plus-dari-tech-in-asia,Pengumuman,
4,Tantangan Berat <em>Startup Point of Sale</em> Indonesia di Era Normal Baru,https://id.techinasia.com/tantangan-startup-pos-di-era-normal-baru,Contoh Artikel Premium,
4,[Update] Cara Membuat Proyeksi Jumlah Pendanaan <em>Startup</em> dari Awal hingga <em>Exit</em>,https://id.techinasia.com/cara-buat-proyeksi-pendanaan-startup,Startup,Featured Startup
4,Cara Jaga Loyalitas Karyawan di Era Perebutan Talenta,https://id.techinasia.com/cara-jaga-loyalitas-karyawan,Profesional,Team Management
3,"Pendekatan Vidio yang Berbeda dari HOOQ, iFlix bahkan Netflix",https://id.techinasia.com/pendekatan-konten-lokal-vidio-com,Startup,Industry Insights
3,Analisis: Facebook dan PayPal Hanya Akan Bantu Gojek Dominasi Pasar Indonesia,https://id.techinasia.com/analisis-facebook-dan-paypal-di-gojek,Startup,Featured Startup
3,"Bagaimana Kredivo dan Akulaku Bisa Memiliki Valuasi Rp7,4 Triliun",https://id.techinasia.com/bagaimana-kredivo-dan-akulaku-punya-valuasi-rp74-triliun,Startup,Featured Startup
3,"Perbandingan Sistem Keamanan Grab dan Gojek, Mana yang Paling Rawan Penipuan?",https://id.techinasia.com/perbandingan-sistem-keamanan-grab-dan-gojek,Startup,Industry Insights
3,Mengapa VC Tertarik Berinvestasi pada Dua Anak Muda Pendiri Ruangguru,https://id.techinasia.com/perjalanan-dua-pendiri-ruangguru,Startup,Featured Startup
3,Bagaimana KitaBisa Menjalankan <em>Crowdfunding</em> hingga Tumbuh 200% di Masa Pandemi,https://id.techinasia.com/cara-kitabisa-jalankan-bisnis-crowdfunding,Startup,Featured Startup
3,Bagaimana OVO Melesat hingga Bisa Menantang VC lewat Inovasi Perusahaan,https://id.techinasia.com/bagaimana-ovo-melesat-dengan-inovasi-perusahaan,Startup,Industry Insights
3,MDI Ventures Siap Luncurkan Dana Investasi Baru Senilai hingga Rp7 Triliun,https://id.techinasia.com/dana-investasi-mdi-ventures,Startup,Startup Update
3,Data Investasi <em>Startup</em> Indonesia Mingguan: <em>Highlight</em> Minggu Ini,https://id.techinasia.com/data-investasi-startup-mingguan,Data,
3,Bagaimana Tokopedia Membangun <em>Engineer</em> Berkultur <em>Data-first</em>,https://id.techinasia.com/engineer-tokopedia-berkultur-data-first,Profesional,Team Management
3,Strategi Kopi Kenangan Menguasai Jaringan Bisnis Kopi di Indonesia,https://id.techinasia.com/strategi-kopi-kenangan,Startup,Featured Startup
3,Mengapa Model <em>New Retail</em> Bisa jadi Masa Depan Bisnis Jual Beli?,https://id.techinasia.com/mengapa-new-retail-jadi-masa-depan-jual-beli,Startup,Industry Insights
3,Cara Transisi Kepemimpinan di <em>Startup</em> Saat Pendiri Pertamanya Berhenti,https://id.techinasia.com/cara-transisi-kepemimpinan-di-startup,,Team Management
3,Updated: Sekarang Kamu Bisa Membeli Game Di Google Play Lewat Potong Pulsa Indosat,https://id.techinasia.com/beli-game-dengan-potong-pulsa-lewat-kartu-indosat,,"Android, Android Articles"
3,Fokus Utama <em>Beauty Tech</em> dalam Menjangkau Konsumen di 2020,https://id.techinasia.com/fokus-beauty-tech-2020,Startup,Industry Insights
3,[Opini] Cara Menentukan Gaji para <em>Founder Startup</em>,https://id.techinasia.com/gaji-founder-startup,Startup,Entrepreneur
3,[Video] Kiat Pilih Nama Produk yang Menarik Pengguna,https://id.techinasia.com/video-memberi-nama-produk,Visual Story,
2,Data Akuisisi Perusahaan Teknologi di Asia Tenggara,https://id.techinasia.com/data-akuisisi-perusahaan-teknologi-di-asia-tenggara,Data,
2,Cara Media <em>Online</em> di Indonesia Raup Penghasilan Selain dari Iklan,https://id.techinasia.com/alternatif-monetisasi-media-online,Startup,Featured Startup
2,Kisah Tim Developer di Balik Kesuksesan GO-JEK yang Tumbuh 900 Kali Lipat dalam 18 Bulan,https://id.techinasia.com/kisah-tim-developer-di-balik-aplikasi-go-jek,Startup,Featured Startup
2,Menggali Lebih Dalam Potensi B2G bagi <em>E-commerce</em>,https://id.techinasia.com/potensi-b2g-bagi-e-commerce,Startup,Industry Insights
2,"Kerajaan Baru Bytedance, Ancaman bagi Raksasa Tencent",https://id.techinasia.com/kerajaan-baru-bytedance-ancam-tencent,Startup,Industry Insights
2,Panduan Menjalankan Pemasaran di Tengah Krisis Akibat Pandemi,https://id.techinasia.com/panduan-pemasaran-getcraft-saat-pandemi,Profesional,Digital Marketing
